,Date,Time
0,21/12/2020,17:18
1,21/12/2020,17:19
2,21/12/2020,17:21
3,21/12/2020,17:23
4,21/12/2020,17:24
5,21/12/2020,17:32
6,21/12/2020,17:37
7,21/12/2020,17:38
8,21/12/2020,17:42
9,21/12/2020,17:42
10,21/12/2020,17:44
11,21/12/2020,17:46
12,21/12/2020,17:54
13,21/12/2020,17:54
14,21/12/2020,17:56
15,21/12/2020,18:11
16,21/12/2020,18:12
17,21/12/2020,18:12
18,21/12/2020,18:14
19,21/12/2020,18:22
20,21/12/2020,18:23
21,21/12/2020,18:25
22,21/12/2020,18:26
23,21/12/2020,18:30
24,21/12/2020,18:30
25,21/12/2020,18:36
26,21/12/2020,18:41
27,21/12/2020,18:41
28,21/12/2020,18:42
29,21/12/2020,18:47
30,21/12/2020,18:48
31,21/12/2020,18:49
32,21/12/2020,18:51
33,21/12/2020,19:11
34,21/12/2020,19:19
35,21/12/2020,19:19
36,21/12/2020,19:20
37,21/12/2020,19:22
38,21/12/2020,19:26
39,21/12/2020,19:27
40,21/12/2020,19:29
41,21/12/2020,19:30
42,21/12/2020,19:35
43,21/12/2020,19:42
44,21/12/2020,19:43
45,21/12/2020,19:44
46,21/12/2020,19:45
47,21/12/2020,19:54
48,21/12/2020,19:54
49,21/12/2020,19:55
50,21/12/2020,19:55
51,21/12/2020,19:56
52,21/12/2020,20:11
53,21/12/2020,20:13
54,21/12/2020,20:15
55,21/12/2020,20:16
56,21/12/2020,20:17
57,21/12/2020,20:17
58,21/12/2020,20:18
59,21/12/2020,20:19
60,21/12/2020,20:24
61,21/12/2020,20:26
62,21/12/2020,20:29
63,21/12/2020,20:32
64,21/12/2020,20:32
65,21/12/2020,20:34
66,21/12/2020,20:38
67,21/12/2020,20:39
68,21/12/2020,20:41
69,21/12/2020,20:43
70,21/12/2020,20:44
71,21/12/2020,20:55
72,21/12/2020,20:56
73,21/12/2020,21:16
74,21/12/2020,21:17
75,21/12/2020,21:17
76,21/12/2020,21:20
77,21/12/2020,21:22
78,21/12/2020,21:27
79,21/12/2020,21:27
80,21/12/2020,21:27
81,21/12/2020,21:29
82,21/12/2020,21:29
83,21/12/2020,21:33
84,21/12/2020,21:44
85,21/12/2020,21:45
86,21/12/2020,21:50
87,21/12/2020,21:51
88,21/12/2020,21:54
