,Date_x,Time,Date_y
0,27/12/2020,17:11,27/12/2020
1,27/12/2020,17:11,27/12/2020
2,27/12/2020,17:12,
3,27/12/2020,17:12,
4,27/12/2020,17:12,
5,27/12/2020,17:13,27/12/2020
6,27/12/2020,17:14,
7,27/12/2020,17:15,27/12/2020
8,27/12/2020,17:16,
9,27/12/2020,17:16,
10,27/12/2020,17:16,
11,27/12/2020,17:17,
12,27/12/2020,17:17,
13,27/12/2020,17:19,27/12/2020
14,27/12/2020,17:20,27/12/2020
15,27/12/2020,17:22,27/12/2020
16,27/12/2020,17:22,27/12/2020
17,27/12/2020,17:22,27/12/2020
18,27/12/2020,17:22,27/12/2020
19,27/12/2020,17:23,
20,27/12/2020,17:24,
21,27/12/2020,17:26,27/12/2020
22,27/12/2020,17:26,27/12/2020
23,27/12/2020,17:26,27/12/2020
24,27/12/2020,17:27,27/12/2020
25,27/12/2020,17:27,27/12/2020
26,27/12/2020,17:28,
27,27/12/2020,17:28,
28,27/12/2020,17:29,
29,27/12/2020,17:31,27/12/2020
30,27/12/2020,17:32,27/12/2020
31,27/12/2020,17:32,27/12/2020
32,27/12/2020,17:32,27/12/2020
33,27/12/2020,17:32,27/12/2020
34,27/12/2020,17:33,
35,27/12/2020,17:35,27/12/2020
36,27/12/2020,17:35,27/12/2020
37,27/12/2020,17:36,
38,27/12/2020,17:36,
39,27/12/2020,17:37,
40,27/12/2020,17:37,
41,27/12/2020,17:38,
42,27/12/2020,17:38,
43,27/12/2020,17:38,
44,27/12/2020,17:39,
45,27/12/2020,17:39,
46,27/12/2020,17:41,
47,27/12/2020,17:41,
48,27/12/2020,17:42,27/12/2020
49,27/12/2020,17:42,27/12/2020
50,27/12/2020,17:42,27/12/2020
51,27/12/2020,17:42,27/12/2020
52,27/12/2020,17:43,
53,27/12/2020,17:44,27/12/2020
54,27/12/2020,17:45,27/12/2020
55,27/12/2020,17:45,27/12/2020
56,27/12/2020,17:45,27/12/2020
57,27/12/2020,17:45,27/12/2020
58,27/12/2020,17:46,27/12/2020
59,27/12/2020,17:46,27/12/2020
60,27/12/2020,17:47,
61,27/12/2020,17:47,
62,27/12/2020,17:48,
63,27/12/2020,17:48,
64,27/12/2020,17:52,
65,27/12/2020,17:53,
66,27/12/2020,17:53,
67,27/12/2020,17:53,
68,27/12/2020,17:53,
69,27/12/2020,17:54,27/12/2020
70,27/12/2020,17:54,27/12/2020
71,27/12/2020,17:57,
72,27/12/2020,17:57,
73,27/12/2020,17:58,27/12/2020
74,27/12/2020,17:58,27/12/2020
75,27/12/2020,18:11,
76,27/12/2020,18:12,
77,27/12/2020,18:12,
78,27/12/2020,18:12,
79,27/12/2020,18:12,
80,27/12/2020,18:13,
81,27/12/2020,18:14,
82,27/12/2020,18:15,27/12/2020
83,27/12/2020,18:15,27/12/2020
84,27/12/2020,18:15,27/12/2020
85,27/12/2020,18:15,27/12/2020
86,27/12/2020,18:15,27/12/2020
87,27/12/2020,18:15,27/12/2020
88,27/12/2020,18:15,27/12/2020
89,27/12/2020,18:15,27/12/2020
90,27/12/2020,18:15,27/12/2020
91,27/12/2020,18:16,
92,27/12/2020,18:16,
93,27/12/2020,18:16,
94,27/12/2020,18:19,
95,27/12/2020,18:20,27/12/2020
96,27/12/2020,18:23,27/12/2020
97,27/12/2020,18:23,27/12/2020
98,27/12/2020,18:25,
99,27/12/2020,18:25,
100,27/12/2020,18:26,27/12/2020
