gender,age,height,weight,weekly_hours,stress
f,30,17526,80,48,4
f,21,179,82,30,2
f,30,156,64,40,4
m,33,175,60,40,4
f,22,175,76,null,3
m,22,159,49,38,5
m,19,155,43,null,3
f,25,185,80,20,2
m,23,168,50,35,4
m,44,160,73,480,5
null,null,null,null,null,null
m,30,151,60,40,3
m,22,168,53,0,4
f,30,180,92,50,4
f,22,181,69,50,2
m,23,153,70,3,4
m,23,165,56,2,1
m,26,163,62,40,3
m,26,160,59,40,4
m,27,174,51,54,4
f,40,1674,109,40,2
f,37,167,74,38,2
f,39,179,89,40,5
f,26,183,85,40,3
m,35,162,75,56,5
m,41,157,54,null,null
f,29,188,81,38,3
m,null,163,51,40,3
m,29,165,64,20,5
f,50,169,97,40,2
f,27,null,null,45,1
f,21,186,75,60,5
m,28,164,64,-50,4
m,null,null,57,40,4
m,40,null,null,null,null
f,27,180,75,35,3
f,null,null,null,55,null
f,40,186,83,40,4
f,30,171,76,50,1
f,21,156,70,null,null
f,28,180,90,40,3
m,30,161,45,7,4
m,36,153,48,null,null
f,22,177,77,40,2
m,37,172,64,40,4
m,27,156,54,40,4
m,28,null,70,20,4
m,23,null,null,55,4
f,29,196,100,42,4
f,28,175,64,35,3
m,21,162,49,15,4
f,21,180,76,50,4
f,53,175,74,40,2
m,31,161,47,40,4
f,41,170,80,20,3
f,30,167,86,20,4
f,18,180,104,null,null
f,26,186,84,40,4
f,20,184,96,20,4
f,34,175,60,45,2
f,31,165,50,39,4
f,40,181,93,84,3
m,22,154,50,15,3
f,28,180,86,5,2
f,38,166,59,35,2
m,27,null,55,40,3
f,32,173,65,45,2
f,38,null,null,40,4
f,26,178,82,42,2
f,27,184,90,50,3
f,27,180,66,40,4
f,28,178,76,40,2
f,33,170,54,60,4
m,22,173,57,40,2
f,32,197,115,60,4
f,28,197,82,40,2
m,33,68,79,55,5
f,33,172,86,45,4
f,null,null,null,null,null
m, Islamic Republic of,26,150,5,4
f,24,167,83,45,4
