,gender,age,height,weight,weekly_hours,stress
0,f,30.0,17526.0,80.0,48.0,4.0
1,f,21.0,179.0,82.0,30.0,2.0
2,f,30.0,156.0,64.0,40.0,4.0
3,m,33.0,175.0,60.0,40.0,4.0
4,f,22.0,175.0,76.0,36.0,3.0
5,m,22.0,159.0,49.0,38.0,5.0
6,m,19.0,155.0,43.0,36.0,3.0
7,f,25.0,185.0,80.0,20.0,2.0
8,m,23.0,168.0,50.0,35.0,4.0
9,m,44.0,160.0,73.0,480.0,5.0
10,0,31.0,224.0,70.0,36.0,3.0
11,m,30.0,151.0,60.0,40.0,3.0
12,m,22.0,168.0,53.0,0.0,4.0
13,f,30.0,180.0,92.0,50.0,4.0
14,f,22.0,181.0,69.0,50.0,2.0
15,m,23.0,153.0,70.0,3.0,4.0
16,m,23.0,165.0,56.0,2.0,1.0
17,m,26.0,163.0,62.0,40.0,3.0
18,m,26.0,160.0,59.0,40.0,4.0
19,m,27.0,174.0,51.0,54.0,4.0
20,f,40.0,1674.0,109.0,40.0,2.0
21,f,37.0,167.0,74.0,38.0,2.0
22,f,39.0,179.0,89.0,40.0,5.0
23,f,26.0,183.0,85.0,40.0,3.0
24,m,35.0,162.0,75.0,56.0,5.0
25,m,41.0,157.0,54.0,36.0,3.0
26,f,29.0,188.0,81.0,38.0,3.0
27,m,163.0,51.0,70.0,40.0,3.0
28,m,29.0,165.0,64.0,20.0,5.0
29,f,50.0,169.0,97.0,40.0,2.0
30,f,27.0,224.0,70.0,45.0,1.0
31,f,21.0,186.0,75.0,60.0,5.0
32,m,28.0,164.0,64.0,-50.0,4.0
33,m,31.0,57.0,70.0,40.0,4.0
34,m,40.0,224.0,70.0,36.0,3.0
35,f,27.0,180.0,75.0,35.0,3.0
36,f,31.0,224.0,70.0,55.0,3.0
37,f,40.0,186.0,83.0,40.0,4.0
38,f,30.0,171.0,76.0,50.0,1.0
39,f,21.0,156.0,70.0,36.0,3.0
40,f,28.0,180.0,90.0,40.0,3.0
41,m,30.0,161.0,45.0,7.0,4.0
42,m,36.0,153.0,48.0,36.0,3.0
43,f,22.0,177.0,77.0,40.0,2.0
44,m,37.0,172.0,64.0,40.0,4.0
45,m,27.0,156.0,54.0,40.0,4.0
46,m,28.0,224.0,70.0,20.0,4.0
47,m,23.0,224.0,70.0,55.0,4.0
48,f,29.0,196.0,100.0,42.0,4.0
49,f,28.0,175.0,64.0,35.0,3.0
50,m,21.0,162.0,49.0,15.0,4.0
51,f,21.0,180.0,76.0,50.0,4.0
52,f,53.0,175.0,74.0,40.0,2.0
53,m,31.0,161.0,47.0,40.0,4.0
54,f,41.0,170.0,80.0,20.0,3.0
55,f,30.0,167.0,86.0,20.0,4.0
56,f,18.0,180.0,104.0,36.0,3.0
57,f,26.0,186.0,84.0,40.0,4.0
58,f,20.0,184.0,96.0,20.0,4.0
59,f,34.0,175.0,60.0,45.0,2.0
60,f,31.0,165.0,50.0,39.0,4.0
61,f,40.0,181.0,93.0,84.0,3.0
62,m,22.0,154.0,50.0,15.0,3.0
63,f,28.0,180.0,86.0,5.0,2.0
64,f,38.0,166.0,59.0,35.0,2.0
65,m,27.0,224.0,55.0,40.0,3.0
66,f,32.0,173.0,65.0,45.0,2.0
67,f,38.0,224.0,70.0,40.0,4.0
68,f,26.0,178.0,82.0,42.0,2.0
69,f,27.0,184.0,90.0,50.0,3.0
70,f,27.0,180.0,66.0,40.0,4.0
