,gender,age,height,weight,weekly_hours,stress
0,0,30.0,175.0,80.0,48.0,4.0
1,0,21.0,179.0,82.0,30.0,2.0
2,0,30.0,156.0,64.0,40.0,4.0
3,1,33.0,175.0,60.0,40.0,4.0
4,0,22.0,175.0,76.0,,3.0
5,1,22.0,159.0,49.0,38.0,5.0
6,1,19.0,155.0,43.0,,3.0
7,0,25.0,185.0,80.0,20.0,2.0
8,1,23.0,168.0,50.0,35.0,4.0
9,1,44.0,160.0,73.0,48.0,5.0
10,,,,,,
11,1,30.0,151.0,60.0,40.0,3.0
12,1,22.0,168.0,53.0,0.0,4.0
13,0,30.0,180.0,92.0,50.0,4.0
14,0,22.0,181.0,69.0,50.0,2.0
15,1,23.0,153.0,70.0,3.0,4.0
16,1,23.0,165.0,56.0,2.0,1.0
17,1,26.0,163.0,62.0,40.0,3.0
18,1,26.0,160.0,59.0,40.0,4.0
19,1,27.0,174.0,51.0,54.0,4.0
20,0,40.0,167.0,109.0,40.0,2.0
21,0,37.0,167.0,74.0,38.0,2.0
22,0,39.0,179.0,89.0,40.0,5.0
23,0,26.0,183.0,85.0,40.0,3.0
24,1,35.0,162.0,75.0,56.0,5.0
25,1,41.0,157.0,54.0,,
26,0,29.0,188.0,81.0,38.0,3.0
27,1,,163.0,51.0,40.0,3.0
28,1,29.0,165.0,64.0,20.0,5.0
29,0,50.0,169.0,97.0,40.0,2.0
30,0,27.0,,,45.0,1.0
31,0,21.0,186.0,75.0,60.0,5.0
32,1,28.0,164.0,64.0,50.0,4.0
33,1,,173.0,,40.0,4.0
34,1,40.0,,,,
35,0,27.0,180.0,75.0,35.0,3.0
36,0,,,,55.0,
37,0,40.0,186.0,83.0,40.0,4.0
38,0,30.0,171.0,76.0,50.0,1.0
39,0,21.0,156.0,70.0,,
40,0,28.0,180.0,90.0,40.0,3.0
41,1,30.0,161.0,45.0,7.0,4.0
42,1,36.0,153.0,48.0,,
43,0,22.0,177.0,77.0,40.0,2.0
44,1,37.0,172.0,64.0,40.0,4.0
45,1,27.0,156.0,54.0,40.0,4.0
46,1,28.0,,70.0,20.0,4.0
47,1,23.0,,,55.0,4.0
48,0,29.0,196.0,100.0,42.0,4.0
49,0,28.0,175.0,64.0,35.0,3.0
50,1,21.0,162.0,49.0,15.0,4.0
51,0,21.0,180.0,76.0,50.0,4.0
52,0,53.0,175.0,74.0,40.0,2.0
53,1,31.0,161.0,47.0,40.0,4.0
54,0,41.0,170.0,80.0,20.0,3.0
55,0,30.0,167.0,86.0,20.0,4.0
56,0,18.0,180.0,104.0,,
57,0,26.0,186.0,84.0,40.0,4.0
58,0,20.0,184.0,96.0,20.0,4.0
59,0,34.0,175.0,60.0,45.0,2.0
60,0,31.0,165.0,50.0,39.0,4.0
61,0,40.0,181.0,93.0,84.0,3.0
62,1,22.0,154.0,50.0,15.0,3.0
63,0,28.0,180.0,86.0,5.0,2.0
64,0,38.0,166.0,59.0,35.0,2.0
65,1,27.0,,55.0,40.0,3.0
66,0,32.0,173.0,65.0,45.0,2.0
67,0,38.0,,,40.0,4.0
68,0,26.0,178.0,82.0,42.0,2.0
69,0,27.0,184.0,90.0,50.0,3.0
70,0,27.0,180.0,66.0,40.0,4.0
71,0,28.0,178.0,76.0,40.0,2.0
72,0,33.0,170.0,54.0,60.0,4.0
73,1,22.0,173.0,57.0,40.0,2.0
74,0,32.0,197.0,115.0,60.0,4.0
75,0,28.0,197.0,82.0,40.0,2.0
76,1,33.0,207.0,79.0,55.0,5.0
77,0,33.0,172.0,86.0,45.0,4.0
78,0,,,,,
79,1,26.0,150.0,,5.0,4.0
80,0,24.0,167.0,83.0,45.0,4.0
81,0,32.0,182.0,83.0,45.0,2.0
82,1,59.0,167.0,57.0,0.0,3.0
83,1,24.0,165.0,,,3.0
84,0,25.0,175.0,73.0,50.0,4.0
85,0,22.0,175.0,71.0,0.0,3.0
86,1,27.0,163.0,80.0,,4.0
87,1,24.0,164.0,54.0,7.0,2.0
88,1,32.0,100.0,100.0,40.0,4.0
89,1,22.0,176.0,65.0,25.0,4.0
90,1,28.0,160.0,49.0,38.0,3.0
91,0,22.0,176.0,70.0,42.0,4.0
92,1,22.0,168.0,62.0,38.0,3.0
93,1,27.0,165.0,164.0,40.0,4.0
94,0,22.0,180.0,75.0,40.0,4.0
95,0,35.0,193.0,76.0,,1.0
96,1,33.0,164.0,53.0,40.0,4.0
97,1,26.0,147.0,40.0,40.0,4.0
98,0,32.0,162.0,80.0,60.0,4.0
99,0,21.0,,50.0,0.0,3.0
100,0,28.0,170.0,80.0,37.0,3.0
101,0,24.0,182.0,74.0,,3.0
102,0,25.0,178.0,60.0,,5.0
103,1,33.0,164.0,51.0,30.0,2.0
104,0,21.0,172.0,68.0,30.0,4.0
105,1,22.0,160.0,75.0,40.0,4.0
106,0,32.0,185.0,84.0,40.0,3.0
107,1,22.0,163.0,48.0,,
108,1,30.0,165.0,60.0,48.0,2.0
109,0,32.0,177.0,90.0,40.0,4.0
110,0,27.0,182.0,70.0,40.0,2.0
111,1,30.0,165.0,70.0,45.0,1.0
112,0,43.0,178.0,90.0,50.0,4.0
113,0,45.0,170.0,60.0,40.0,3.0
114,0,44.0,176.0,68.0,,4.0
115,0,30.0,160.0,74.0,,5.0
116,0,25.0,179.0,80.0,40.0,4.0
117,1,28.0,152.0,64.0,35.0,5.0
118,0,42.0,186.0,94.0,40.0,2.0
119,0,23.0,167.0,56.0,56.0,4.0
120,1,31.0,162.0,61.0,15.0,2.0
121,1,22.0,168.0,70.0,0.0,4.0
122,0,23.0,182.0,100.0,50.0,2.0
123,0,33.0,180.0,80.0,48.0,2.0
124,1,24.0,156.0,53.0,40.0,3.0
125,0,25.0,170.0,78.0,40.0,5.0
126,0,26.0,180.0,80.0,40.0,2.0
127,0,25.0,178.0,82.0,54.0,2.0
128,1,23.0,160.0,56.0,40.0,4.0
129,0,34.0,168.0,80.0,60.0,3.0
130,0,40.0,167.0,77.0,60.0,4.0
131,0,27.0,167.0,98.0,40.0,4.0
132,0,30.0,180.0,87.0,50.0,4.0
133,1,29.0,168.0,52.0,35.0,4.0
134,1,21.0,170.0,59.0,1.0,3.0
135,1,54.0,182.0,79.0,60.0,4.0
136,1,63.0,168.0,86.0,50.0,4.0
137,0,19.0,171.0,75.0,0.0,2.0
138,1,,155.0,58.0,40.0,3.0
139,1,21.0,150.0,56.0,16.0,4.0
140,1,24.0,162.0,58.0,40.0,4.0
141,1,27.0,160.0,58.0,45.0,3.0
142,0,27.0,172.0,68.0,37.0,4.0
143,0,22.0,173.0,52.0,50.0,4.0
144,0,26.0,183.0,86.0,40.0,4.0
145,0,25.0,175.0,72.0,40.0,4.0
146,1,33.0,173.0,62.0,4.0,3.0
147,0,25.0,194.0,90.0,25.0,2.0
