,index,gender,age,height,weight,weekly_hours,stress
0,0,0,30,175,80,48,4
1,1,0,21,179,82,30,2
2,2,0,30,156,64,40,4
3,3,1,33,175,60,40,4
4,5,1,22,159,49,38,5
5,7,0,25,185,80,20,2
6,8,1,23,168,50,35,4
7,9,1,44,160,73,48,5
8,11,1,30,151,60,40,3
9,12,1,22,168,53,0,4
10,13,0,30,180,92,50,4
11,14,0,22,181,69,50,2
12,15,1,23,153,70,3,4
13,16,1,23,165,56,2,1
14,17,1,26,163,62,40,3
15,18,1,26,160,59,40,4
16,19,1,27,174,51,54,4
17,20,0,40,167,109,40,2
18,21,0,37,167,74,38,2
19,22,0,39,179,89,40,5
20,23,0,26,183,85,40,3
21,24,1,35,162,75,56,5
22,26,0,29,188,81,38,3
23,28,1,29,165,64,20,5
24,29,0,50,169,97,40,2
25,31,0,21,186,75,60,5
26,32,1,28,164,64,50,4
27,35,0,27,180,75,35,3
28,37,0,40,186,83,40,4
29,38,0,30,171,76,50,1
30,40,0,28,180,90,40,3
31,41,1,30,161,45,7,4
32,43,0,22,177,77,40,2
33,44,1,37,172,64,40,4
34,45,1,27,156,54,40,4
35,48,0,29,196,100,42,4
36,49,0,28,175,64,35,3
37,50,1,21,162,49,15,4
38,51,0,21,180,76,50,4
39,52,0,53,175,74,40,2
40,53,1,31,161,47,40,4
41,54,0,41,170,80,20,3
42,55,0,30,167,86,20,4
43,57,0,26,186,84,40,4
44,58,0,20,184,96,20,4
45,59,0,34,175,60,45,2
46,60,0,31,165,50,39,4
47,61,0,40,181,93,84,3
48,62,1,22,154,50,15,3
49,63,0,28,180,86,5,2
50,64,0,38,166,59,35,2
51,66,0,32,173,65,45,2
52,68,0,26,178,82,42,2
53,69,0,27,184,90,50,3
54,70,0,27,180,66,40,4
55,71,0,28,178,76,40,2
56,72,0,33,170,54,60,4
57,73,1,22,173,57,40,2
58,74,0,32,197,115,60,4
59,75,0,28,197,82,40,2
60,76,1,33,207,79,55,5
61,77,0,33,172,86,45,4
62,80,0,24,167,83,45,4
63,81,0,32,182,83,45,2
64,82,1,59,167,57,0,3
65,84,0,25,175,73,50,4
66,85,0,22,175,71,0,3
67,87,1,24,164,54,7,2
68,88,1,32,100,100,40,4
69,89,1,22,176,65,25,4
70,90,1,28,160,49,38,3
71,91,0,22,176,70,42,4
72,92,1,22,168,62,38,3
73,93,1,27,165,164,40,4
74,94,0,22,180,75,40,4
75,96,1,33,164,53,40,4
76,97,1,26,147,40,40,4
77,98,0,32,162,80,60,4
78,100,0,28,170,80,37,3
79,103,1,33,164,51,30,2
80,104,0,21,172,68,30,4
81,105,1,22,160,75,40,4
82,106,0,32,185,84,40,3
83,108,1,30,165,60,48,2
84,109,0,32,177,90,40,4
85,110,0,27,182,70,40,2
86,111,1,30,165,70,45,1
87,112,0,43,178,90,50,4
88,113,0,45,170,60,40,3
89,116,0,25,179,80,40,4
90,117,1,28,152,64,35,5
91,118,0,42,186,94,40,2
92,119,0,23,167,56,56,4
93,120,1,31,162,61,15,2
94,121,1,22,168,70,0,4
95,122,0,23,182,100,50,2
96,123,0,33,180,80,48,2
97,124,1,24,156,53,40,3
98,125,0,25,170,78,40,5
99,126,0,26,180,80,40,2
100,127,0,25,178,82,54,2
101,128,1,23,160,56,40,4
102,129,0,34,168,80,60,3
103,130,0,40,167,77,60,4
104,131,0,27,167,98,40,4
105,132,0,30,180,87,50,4
106,133,1,29,168,52,35,4
107,134,1,21,170,59,1,3
108,135,1,54,182,79,60,4
109,136,1,63,168,86,50,4
110,137,0,19,171,75,0,2
111,139,1,21,150,56,16,4
112,140,1,24,162,58,40,4
113,141,1,27,160,58,45,3
114,142,0,27,172,68,37,4
115,143,0,22,173,52,50,4
116,144,0,26,183,86,40,4
117,145,0,25,175,72,40,4
118,146,1,33,173,62,4,3
119,147,0,25,194,90,25,2
120,148,1,24,176,80,40,5
121,149,0,36,169,70,45,2
122,151,1,30,165,72,40,3
123,152,0,30,167,60,40,3
124,153,1,42,163,61,40,4
125,154,0,26,180,75,40,2
126,156,1,24,168,70,40,2
127,157,0,33,178,85,10,2
128,158,0,29,162,52,3,4
129,159,0,24,167,57,51,2
130,160,1,24,173,58,40,3
131,161,0,22,190,85,50,5
132,162,1,29,174,58,60,4
133,163,1,36,157,80,40,4
134,166,0,45,176,90,48,3
135,167,0,21,180,72,0,2
136,168,1,32,162,75,45,4
137,169,1,38,165,56,40,5
138,170,1,28,158,62,30,2
139,171,1,63,163,57,25,3
140,172,0,48,175,63,40,4
141,174,1,31,167,67,40,4
142,175,0,30,173,70,60,2
143,176,1,34,157,76,30,2
144,177,1,22,165,54,42,3
145,178,0,28,174,70,40,2
146,180,1,22,167,55,40,4
147,181,0,34,178,73,56,1
148,182,0,27,176,89,40,4
149,183,1,52,152,58,0,4
150,184,1,26,163,52,40,3
151,185,1,42,168,72,84,4
152,186,0,27,182,85,40,4
153,187,0,28,170,75,35,3
154,189,0,28,183,80,40,4
155,190,1,42,165,70,40,3
156,192,0,35,181,75,45,3
157,193,0,42,160,92,36,5
158,194,1,24,157,48,50,4
159,195,0,29,175,77,40,1
160,197,1,29,169,60,42,3
161,198,1,23,158,65,40,1
162,200,1,28,157,58,35,3
163,202,0,23,175,100,40,4
164,203,1,28,164,63,48,4
165,204,1,24,155,54,30,4
166,205,1,28,157,48,35,4
167,208,0,23,166,67,42,3
168,209,1,21,161,56,0,5
169,210,0,48,169,75,15,4
170,211,0,24,160,65,0,4
171,212,1,25,154,45,0,3
172,213,0,17,178,66,0,3
173,214,0,32,183,79,45,3
174,215,0,36,179,87,50,3
175,216,0,24,170,65,0,4
176,218,0,20,184,96,20,4
177,219,0,40,168,60,55,4
178,220,1,45,173,52,50,3
179,221,0,26,172,80,40,4
180,222,1,24,152,57,40,3
181,223,1,28,162,63,48,3
182,224,0,39,168,60,45,2
183,225,0,23,176,65,40,3
184,226,0,36,168,72,40,4
185,227,0,24,176,75,40,1
186,228,0,48,165,60,45,3
187,229,1,27,160,50,40,5
188,232,0,20,180,72,0,2
189,233,0,51,186,92,30,2
190,234,0,24,170,70,45,2
191,236,1,31,150,45,40,4
192,237,0,48,170,112,40,3
193,238,0,35,179,100,40,3
194,240,0,20,172,111,25,4
195,243,1,46,168,65,35,5
196,244,0,25,168,60,40,4
197,245,1,23,160,53,40,4
198,246,0,35,170,62,60,5
199,247,0,34,175,85,40,3
200,249,1,22,165,60,12,4
201,250,0,36,177,82,45,3
202,251,0,23,179,72,40,4
203,253,0,21,158,50,20,5
204,254,0,23,174,70,40,2
205,256,0,35,168,65,40,2
206,257,0,45,173,79,55,3
207,258,0,33,156,68,40,4
208,259,1,22,168,55,0,4
209,260,0,32,173,82,40,3
210,261,1,21,170,53,35,4
211,262,0,41,175,75,50,3
212,263,0,30,167,63,40,3
213,264,1,25,160,54,10,3
214,267,1,23,167,51,40,3
215,268,0,31,168,86,50,4
216,270,0,23,172,65,0,4
217,271,1,25,167,67,8,4
218,272,1,25,163,64,37,4
219,275,0,21,174,77,0,4
220,277,0,25,180,69,0,3
221,278,0,22,174,72,35,3
222,279,0,22,200,75,40,4
223,280,0,34,173,100,45,3
224,281,1,22,173,78,40,4
225,283,1,24,164,50,48,3
